id,name,travel_start,travel_end,user_photo,about,video_tour
1,John Smith,Janurary,April,1.jpg,"Hi, we’re Vacasa, North America’s largest vacation rental management company. Owners of vacation homes around the world trust us to deliver exceptional service throughout your entire vacation. Professional housekeepers clean and stock each home, and our customer care team is available around the clock—with a local property manager ready to show up and help out. We like to think we offer the best of both worlds: you can enjoy a one-of-a-kind vacation experience in a unique property, without compromising on service and convenience. Check out our listings, and get in touch if you have any questions. Your vacation is our full-time job, and we'd love to help you plan your perfect getaway.",
2,Jerry Seinfeld,June ,October,2.jpg,"Hello Airbnb'ers! I host a number of gorgeous homes, some in the beautiful Turks and Caicos Islands, British West Indies, a few lovely apartments in Tulum, the Magical Mayan Riviera of Mexico… And one in the beautiful Colorado Rockies' town of Aspen / Snowmass. Each one has its own unique style and ambiance which I’m proud to say I personally renovated and refurbished all of them myself. I am proud and love managing each of these apartments, so I can guarantee cleanliness and comfort, along with style and sophistication. I am also proud of all the great reviews I have received as a manager & host. I would always do anything to make your stay a great one. I love the adventure of traveling and looking forward to hosting you in one of my precious paradise gems! Happy travels!",
3,George Thomson,February ,April,3.jpg,Fashion Designer who travels back and forth from LA to Aspen. I know all of the great spots in Aspen.,
4,Paula Gonzalez,March,May,4.jpg,"We we're the first wedding at the Aspen Art Museum, just up the road from our condo ... the Art Museum is free of charge and has a wonderful roof top cafe that is great for lunch!",
5,Charles Henry,January ,June,5.jpg,"I'm a young professional based in Snowmass Village, CO. When I find the time, I love traveling and experiencing the unknown!",
6,Adam Stewart,August ,September,6.jpg,"I am a yoga and meditation teacher. I grew up in Aspen and now my partner, David, and I get to go back and forth between my home town and Santa Barbara. It's great to have guests enjoy our space while we're away. We love to hike and ski, dance and surf. You can get more of a sense of me as a teacher and read my blog if you search for ""Chloe Conger yoga.""",
7,David Henderson,May,June,7.jpg,null,
8,Madden Long,April,May,8.jpg,"Thank you for considering staying with us during your visit to Aspen Snowmass. My company Aspen Vacations and I go above and beyond to create the ultimate experience for all of our guests. Please don't hesitate to reach out if you have any questions about any of our listings, or the area in general. I’m blessed to call Aspen Snowmass my home and love sharing this magical place and everything it has to offer with guests from all over the world. I will be available before and during your stay and make sure that you and your family and friends have the best ""home away from home” Airbnb experience. I have deep knowledge of the area and would be more than happy to help you with planning your vacation. At Aspen Vacations the safety of our guests is our #1 priority which is why we have implemented a strict Covid-19 Cleaning & Disinfecting Protocol in accordance with CDC guidelines and keyless check-in at all of our properties. Additional and daily housekeeping will be available during your stay upon request.",
9,Shelby Harrington,November ,December,9.jpg,KEYLINK is a vacation rental management company that offers Full Service or Booking Management options for a successful vacation rental experience for both the guest and homeowner. We respond to guest inquiries 7 days a week. Please feel free to contact us for information.,
10,Cohen Riggs,October ,November,10.jpg,"Greetings from Team Vacasa! Yes, we're a professional property management company—but we're also real people, trusted by the owners of vacation homes to take care of all the heavy lifting like housekeeping, reservations, maintenance, and guest care. (Because, to be honest, renting out a vacation home really can be a full-time job!) We have local teams on the ground to take care of our homes and our guests. We like to think of it as the best of both worlds: you can enjoy a one-of-a-kind vacation experience in a unique property, only without compromising on service and convenience. You can trust that your home will be cleaned by professional housekeepers, and your calls will be answered (right away, around the clock!) by our dedicated Guest Services team. Check out our listings, and if you have any questions, get in touch! We'd love to help you plan your perfect getaway.",
